origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,timestamp,hour,day,month,weekday,is_weekend
"National Museum, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",11449,1553,1947,,,,,,0
"National Museum, Delhi, India","Tughlaqabad Fort, Delhi, India",15373,2440,3015,,,,,,0
"National Museum, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",5779,811,1002,,,,,,0
"National Museum, Delhi, India","Safdarjung's Tomb, Delhi, India",4983,608,685,,,,,,0
"National Museum, Delhi, India","Jantar Mantar, Delhi, India",2500,390,432,,,,,,0
"National Museum, Delhi, India","Shah Jahan Park, Delhi, India",2270,306,354,,,,,,0
"National Museum, Delhi, India","Connaught Place, Delhi, India",2666,382,417,,,,,,0
"National Museum, Delhi, India","Paharganj, Delhi, India",4641,1032,1111,,,,,,0
"National Museum, Delhi, India","Chandni Chowk, Delhi, India",6400,1063,1608,,,,,,0
"National Museum, Delhi, India","Pitampura TV Tower, Delhi, India",16328,2121,2928,,,,,,0
"National Museum, Delhi, India","Mundka Industrial Area, Delhi, India",25067,3617,5191,,,,,,0
"National Museum, Delhi, India","Dwarka Sector 21, Delhi, India",25110,2808,3601,,,,,,0
"National Museum, Delhi, India","Khan Market, Delhi, India",2053,410,417,,,,,,0
"National Museum, Delhi, India","Sarai Rohilla, Delhi, India",9912,1502,1846,,,,,,0
"National Museum, Delhi, India","Lajpat Nagar, Delhi, India",9185,1011,1335,,,,,,0
"National Museum, Delhi, India","Punjabi Bagh, Delhi, India",12383,1764,2501,,,,,,0
"National Museum, Delhi, India","Greater Kailash, Delhi, India",10259,1236,1539,,,,,,0
"National Museum, Delhi, India","Vasant Kunj, Delhi, India",13433,1781,2173,,,,,,0
"National Museum, Delhi, India","Noida Sector 18, Delhi, India",9278,1166,1353,,,,,,0
"National Museum, Delhi, India","Azadpur Mandi, Delhi, India",16385,2513,3053,,,,,,0
"National Museum, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",13705,1476,1899,,,,,,0
"Lodhi Garden, Delhi, India","National Gallery of Modern Art, Delhi, India",3252,590,662,,,,,,0
"Lodhi Garden, Delhi, India","Parliament House, Delhi, India",4072,636,588,,,,,,0
"Lodhi Garden, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",3745,567,547,,,,,,0
"Lodhi Garden, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",5616,772,822,,,,,,0
"Lodhi Garden, Delhi, India","Dilli Haat, Delhi, India",7008,1039,1321,,,,,,0
"Lodhi Garden, Delhi, India","Saket Mall, Delhi, India",10989,1646,2151,,,,,,0
"Lodhi Garden, Delhi, India","Khan Market, Delhi, India",1164,367,344,,,,,,0
"Lodhi Garden, Delhi, India","Hauz Khas Village, Delhi, India",7848,1156,1466,,,,,,0
"Lodhi Garden, Delhi, India","Chhatarpur Temple, Delhi, India",13498,2049,2799,,,,,,0
"Lodhi Garden, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",21889,3166,4116,,,,,,0
"Lodhi Garden, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",28002,2819,3666,,,,,,0
"Lodhi Garden, Delhi, India","Nehru Planetarium, Delhi, India",3990,578,834,,,,,,0
"Lodhi Garden, Delhi, India","Shankar's International Dolls Museum, Delhi, India",7120,1025,1226,,,,,,0
"Lodhi Garden, Delhi, India","ISKCON Temple, Delhi, India",10124,1325,1706,,,,,,0
"Lodhi Garden, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",3358,508,498,,,,,,0
"Lodhi Garden, Delhi, India","Delhi Zoo, Delhi, India",5326,869,814,,,,,,0
"Lodhi Garden, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",12073,1742,2158,,,,,,0
"Lodhi Garden, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",9197,1189,1213,,,,,,0
"Lodhi Garden, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",4079,665,655,,,,,,0
"Lodhi Garden, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",10646,1555,1861,,,,,,0
"Lodhi Garden, Delhi, India","Tughlaqabad Fort, Delhi, India",14542,2319,2858,,,,,,0
"Lodhi Garden, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",8757,1181,1197,,,,,,0
"Lodhi Garden, Delhi, India","Safdarjung's Tomb, Delhi, India",4279,581,588,,,,,,0
"Lodhi Garden, Delhi, India","Jantar Mantar, Delhi, India",5181,787,799,,,,,,0
"Lodhi Garden, Delhi, India","Shah Jahan Park, Delhi, India",1868,331,395,,,,,,0
"Lodhi Garden, Delhi, India","Connaught Place, Delhi, India",5347,779,816,,,,,,0
"Lodhi Garden, Delhi, India","Paharganj, Delhi, India",7322,1429,1517,,,,,,0
"Lodhi Garden, Delhi, India","Chandni Chowk, Delhi, India",8649,1372,1947,,,,,,0
"Lodhi Garden, Delhi, India","Pitampura TV Tower, Delhi, India",22750,2462,3469,,,,,,0
"Lodhi Garden, Delhi, India","Mundka Industrial Area, Delhi, India",32458,4010,5183,,,,,,0
"Lodhi Garden, Delhi, India","Dwarka Sector 21, Delhi, India",23490,2558,3393,,,,,,0
"Lodhi Garden, Delhi, India","Khan Market, Delhi, India",1164,367,338,,,,,,0
"Lodhi Garden, Delhi, India","Sarai Rohilla, Delhi, India",12593,1899,2249,,,,,,0
"Lodhi Garden, Delhi, India","Lajpat Nagar, Delhi, India",8481,984,1290,,,,,,0
"Lodhi Garden, Delhi, India","Punjabi Bagh, Delhi, India",15240,2389,2930,,,,,,0
"Lodhi Garden, Delhi, India","Greater Kailash, Delhi, India",9182,1217,1447,,,,,,0
"Lodhi Garden, Delhi, India","Vasant Kunj, Delhi, India",13226,1757,2247,,,,,,0
"Lodhi Garden, Delhi, India","Noida Sector 18, Delhi, India",11396,1483,1586,,,,,,0
"Lodhi Garden, Delhi, India","Azadpur Mandi, Delhi, India",22191,2915,3189,,,,,,0
"Lodhi Garden, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",13886,1566,1741,,,,,,0
"National Gallery of Modern Art, Delhi, India","Parliament House, Delhi, India",3661,507,575,,,,,,0
"National Gallery of Modern Art, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",3334,438,539,,,,,,0
"National Gallery of Modern Art, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",4234,548,650,,,,,,0
"National Gallery of Modern Art, Delhi, India","Dilli Haat, Delhi, India",8223,1090,1396,,,,,,0
"National Gallery of Modern Art, Delhi, India","Saket Mall, Delhi, India",12209,1716,2274,,,,,,0
"National Gallery of Modern Art, Delhi, India","Khan Market, Delhi, India",2117,416,436,,,,,,0
"National Gallery of Modern Art, Delhi, India","Hauz Khas Village, Delhi, India",9068,1226,1604,,,,,,0
"National Gallery of Modern Art, Delhi, India","Chhatarpur Temple, Delhi, India",14718,2119,2965,,,,,,0
"National Gallery of Modern Art, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",20539,2906,3922,,,,,,0
"National Gallery of Modern Art, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",26254,2433,3315,,,,,,0
"National Gallery of Modern Art, Delhi, India","Nehru Planetarium, Delhi, India",5066,595,749,,,,,,0
"National Gallery of Modern Art, Delhi, India","Shankar's International Dolls Museum, Delhi, India",4968,704,913,,,,,,0
"National Gallery of Modern Art, Delhi, India","ISKCON Temple, Delhi, India",7941,1218,1520,,,,,,0
"National Gallery of Modern Art, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",2947,379,453,,,,,,0
"National Gallery of Modern Art, Delhi, India","Delhi Zoo, Delhi, India",3578,483,530,,,,,,0
"National Gallery of Modern Art, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",10325,1356,1870,,,,,,0
"National Gallery of Modern Art, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",7449,803,914,,,,,,0
"National Gallery of Modern Art, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",2331,279,355,,,,,,0
"National Gallery of Modern Art, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",10051,1329,1694,,,,,,0
"National Gallery of Modern Art, Delhi, India","Tughlaqabad Fort, Delhi, India",13299,2000,2473,,,,,,0
"National Gallery of Modern Art, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",7009,795,903,,,,,,0
"National Gallery of Modern Art, Delhi, India","Safdarjung's Tomb, Delhi, India",5499,651,718,,,,,,0
"National Gallery of Modern Art, Delhi, India","Jantar Mantar, Delhi, India",3799,563,631,,,,,,0
"National Gallery of Modern Art, Delhi, India","Shah Jahan Park, Delhi, India",989,147,164,,,,,,0
"National Gallery of Modern Art, Delhi, India","Connaught Place, Delhi, India",3965,555,626,,,,,,0
"National Gallery of Modern Art, Delhi, India","Paharganj, Delhi, India",5940,1205,1314,,,,,,0
"National Gallery of Modern Art, Delhi, India","Chandni Chowk, Delhi, India",6497,1051,1612,,,,,,0
"National Gallery of Modern Art, Delhi, India","Pitampura TV Tower, Delhi, India",17627,2294,3181,,,,,,0
"National Gallery of Modern Art, Delhi, India","Mundka Industrial Area, Delhi, India",26366,3790,5288,,,,,,0
"National Gallery of Modern Art, Delhi, India","Dwarka Sector 21, Delhi, India",26638,2990,3472,,,,,,0
"National Gallery of Modern Art, Delhi, India","Khan Market, Delhi, India",2117,416,472,,,,,,0
"National Gallery of Modern Art, Delhi, India","Sarai Rohilla, Delhi, India",11211,1675,2065,,,,,,0
"National Gallery of Modern Art, Delhi, India","Lajpat Nagar, Delhi, India",7203,946,1135,,,,,,0
"National Gallery of Modern Art, Delhi, India","Punjabi Bagh, Delhi, India",13682,1937,2767,,,,,,0
"National Gallery of Modern Art, Delhi, India","Greater Kailash, Delhi, India",8587,991,1286,,,,,,0
"National Gallery of Modern Art, Delhi, India","Vasant Kunj, Delhi, India",14134,1859,2399,,,,,,0
"National Gallery of Modern Art, Delhi, India","Noida Sector 18, Delhi, India",9648,1097,1273,,,,,,0
"National Gallery of Modern Art, Delhi, India","Azadpur Mandi, Delhi, India",20424,2438,2858,,,,,,0
"National Gallery of Modern Art, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",13144,1539,2067,,,,,,0
"Parliament House, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",1285,297,242,,,,,,0
"Parliament House, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",2034,346,369,,,,,,0
"Parliament House, Delhi, India","Dilli Haat, Delhi, India",9351,1333,1690,,,,,,0
"Parliament House, Delhi, India","Saket Mall, Delhi, India",13347,1956,2608,,,,,,0
"Parliament House, Delhi, India","Khan Market, Delhi, India",4241,753,817,,,,,,0
"Parliament House, Delhi, India","Hauz Khas Village, Delhi, India",10206,1466,1891,,,,,,0
"Parliament House, Delhi, India","Chhatarpur Temple, Delhi, India",18154,2551,3292,,,,,,0
"Parliament House, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",17300,2558,3360,,,,,,0
"Parliament House, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",26040,2695,3748,,,,,,0
"Parliament House, Delhi, India","Nehru Planetarium, Delhi, India",3836,555,830,,,,,,0
"Parliament House, Delhi, India","Shankar's International Dolls Museum, Delhi, India",5469,899,1107,,,,,,0
"Parliament House, Delhi, India","ISKCON Temple, Delhi, India",12482,1635,2128,,,,,,0
"Parliament House, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",1847,349,400,,,,,,0
"Parliament House, Delhi, India","Delhi Zoo, Delhi, India",6626,1012,1086,,,,,,0
"Parliament House, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",10111,1618,2217,,,,,,0
"Parliament House, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",6628,1033,1209,,,,,,0
"Parliament House, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",5447,823,908,,,,,,0
"Parliament House, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",14954,1974,2364,,,,,,0
"Parliament House, Delhi, India","Tughlaqabad Fort, Delhi, India",17226,2575,3271,,,,,,0
"Parliament House, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",6377,994,1153,,,,,,0
"Parliament House, Delhi, India","Safdarjung's Tomb, Delhi, India",6637,890,1080,,,,,,0
"Parliament House, Delhi, India","Jantar Mantar, Delhi, India",1976,411,397,,,,,,0
"Parliament House, Delhi, India","Shah Jahan Park, Delhi, India",4458,649,758,,,,,,0
"Parliament House, Delhi, India","Connaught Place, Delhi, India",1765,354,350,,,,,,0
"Parliament House, Delhi, India","Paharganj, Delhi, India",4141,1058,1042,,,,,,0
"Parliament House, Delhi, India","Chandni Chowk, Delhi, India",5157,1117,1711,,,,,,0
"Parliament House, Delhi, India","Pitampura TV Tower, Delhi, India",14388,1946,2629,,,,,,0
"Parliament House, Delhi, India","Mundka Industrial Area, Delhi, India",23524,3710,4841,,,,,,0
"Parliament House, Delhi, India","Dwarka Sector 21, Delhi, India",25610,2819,3341,,,,,,0
"Parliament House, Delhi, India","Khan Market, Delhi, India",4241,753,817,,,,,,0
"Parliament House, Delhi, India","Sarai Rohilla, Delhi, India",9011,1473,1780,,,,,,0
"Parliament House, Delhi, India","Lajpat Nagar, Delhi, India",10839,1294,1709,,,,,,0
"Parliament House, Delhi, India","Punjabi Bagh, Delhi, India",10416,1580,2299,,,,,,0
"Parliament House, Delhi, India","Greater Kailash, Delhi, India",13490,1636,1916,,,,,,0
"Parliament House, Delhi, India","Vasant Kunj, Delhi, India",14844,2041,2437,,,,,,0
"Parliament House, Delhi, India","Noida Sector 18, Delhi, India",9876,1349,1591,,,,,,0
"Parliament House, Delhi, India","Azadpur Mandi, Delhi, India",16704,2137,2916,,,,,,0
"Parliament House, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",14240,1531,1930,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Gurudwara Bangla Sahib, Delhi, India",2630,437,421,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Dilli Haat, Delhi, India",7918,1040,1533,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Saket Mall, Delhi, India",12387,1808,2388,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Khan Market, Delhi, India",3281,604,631,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Hauz Khas Village, Delhi, India",9246,1318,1732,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Chhatarpur Temple, Delhi, India",16918,2396,3126,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",17599,2592,3508,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",26855,2743,3717,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Nehru Planetarium, Delhi, India",2487,381,530,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Shankar's International Dolls Museum, Delhi, India",6284,947,1160,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","ISKCON Temple, Delhi, India",11522,1487,1944,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",387,63,63,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Delhi Zoo, Delhi, India",7441,1060,1144,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",10926,1666,2269,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Mahatma Gandhi Memorial, Delhi, India",7443,1081,1263,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",6236,867,947,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",12895,1778,2127,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Tughlaqabad Fort, Delhi, India",16699,2521,3040,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Feroz Shah Kotla Fort, Delhi, India",7192,1042,1200,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Safdarjung's Tomb, Delhi, India",5677,742,836,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Jantar Mantar, Delhi, India",3913,621,664,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Shah Jahan Park, Delhi, India",3498,500,561,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Connaught Place, Delhi, India",3358,551,514,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Paharganj, Delhi, India",5754,973,1222,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Chandni Chowk, Delhi, India",7813,1294,1863,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Pitampura TV Tower, Delhi, India",14687,1980,2671,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Mundka Industrial Area, Delhi, India",23453,3484,4911,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Dwarka Sector 21, Delhi, India",24482,2799,3533,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Khan Market, Delhi, India",3281,604,632,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Sarai Rohilla, Delhi, India",9759,1483,1822,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Lajpat Nagar, Delhi, India",9879,1146,1526,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Punjabi Bagh, Delhi, India",10742,1623,2344,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Greater Kailash, Delhi, India",10953,1371,1777,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Vasant Kunj, Delhi, India",13608,1886,2241,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Noida Sector 18, Delhi, India",10691,1397,1579,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Azadpur Mandi, Delhi, India",17003,2171,3045,,,,,,0
"Presidential Palace (Rashtrapati Bhavan), Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",11768,1357,2007,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Dilli Haat, Delhi, India",9019,1139,1692,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Saket Mall, Delhi, India",13488,1907,2613,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Khan Market, Delhi, India",4301,703,797,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Hauz Khas Village, Delhi, India",10347,1417,1841,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Chhatarpur Temple, Delhi, India",16860,2463,3279,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",18189,2614,3447,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",25622,2565,3499,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Nehru Planetarium, Delhi, India",3886,484,861,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Shankar's International Dolls Museum, Delhi, India",5051,769,933,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","ISKCON Temple, Delhi, India",12623,1586,2110,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",1988,300,384,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Delhi Zoo, Delhi, India",6208,882,936,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",9693,1488,2020,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",6210,903,1043,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",5029,693,785,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",14536,1844,2245,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Tughlaqabad Fort, Delhi, India",16808,2445,3181,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",5959,864,983,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Safdarjung's Tomb, Delhi, India",6778,841,962,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Jantar Mantar, Delhi, India",1419,251,242,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Shah Jahan Park, Delhi, India",4498,592,770,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Connaught Place, Delhi, India",1208,194,176,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Paharganj, Delhi, India",3584,898,940,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Chandni Chowk, Delhi, India",4600,957,1551,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Pitampura TV Tower, Delhi, India",15277,2002,2800,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Mundka Industrial Area, Delhi, India",24043,3506,4865,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Dwarka Sector 21, Delhi, India",26414,2877,3505,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Khan Market, Delhi, India",4301,703,794,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Sarai Rohilla, Delhi, India",8861,1383,1774,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Lajpat Nagar, Delhi, India",10980,1245,1636,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Punjabi Bagh, Delhi, India",11332,1645,2282,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Greater Kailash, Delhi, India",13072,1506,1766,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Vasant Kunj, Delhi, India",14985,1992,2400,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Noida Sector 18, Delhi, India",9458,1219,1373,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Azadpur Mandi, Delhi, India",17593,2193,3084,,,,,,0
"Gurudwara Bangla Sahib, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",14967,1521,1996,,,,,,0
"Dilli Haat, Delhi, India","Saket Mall, Delhi, India",8082,1362,1894,,,,,,0
"Dilli Haat, Delhi, India","Khan Market, Delhi, India",4372,685,699,,,,,,0
"Dilli Haat, Delhi, India","Hauz Khas Village, Delhi, India",4941,872,1198,,,,,,0
"Dilli Haat, Delhi, India","Chhatarpur Temple, Delhi, India",10591,1765,2577,,,,,,0
"Dilli Haat, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",25093,2969,3356,,,,,,0
"Dilli Haat, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",28087,3066,4303,,,,,,0
"Dilli Haat, Delhi, India","Nehru Planetarium, Delhi, India",4713,565,1021,,,,,,0
"Dilli Haat, Delhi, India","Shankar's International Dolls Museum, Delhi, India",9528,1246,1477,,,,,,0
"Dilli Haat, Delhi, India","ISKCON Temple, Delhi, India",7128,1032,1483,,,,,,0
"Dilli Haat, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",5245,638,684,,,,,,0
"Dilli Haat, Delhi, India","Delhi Zoo, Delhi, India",9815,1062,1213,,,,,,0
"Dilli Haat, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",14763,1893,2569,,,,,,0
"Dilli Haat, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",10687,1380,1572,,,,,,0
"Dilli Haat, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",7291,1004,1026,,,,,,0
"Dilli Haat, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",7749,1233,1635,,,,,,0
"Dilli Haat, Delhi, India","Tughlaqabad Fort, Delhi, India",11638,2117,2664,,,,,,0
"Dilli Haat, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",10436,1341,1512,,,,,,0
"Dilli Haat, Delhi, India","Safdarjung's Tomb, Delhi, India",2196,256,266,,,,,,0
"Dilli Haat, Delhi, India","Jantar Mantar, Delhi, India",7688,983,1069,,,,,,0
"Dilli Haat, Delhi, India","Shah Jahan Park, Delhi, India",4789,613,670,,,,,,0
"Dilli Haat, Delhi, India","Connaught Place, Delhi, India",7854,975,1059,,,,,,0
"Dilli Haat, Delhi, India","Paharganj, Delhi, India",11095,1585,2057,,,,,,0
"Dilli Haat, Delhi, India","Chandni Chowk, Delhi, India",11057,1593,2137,,,,,,0
"Dilli Haat, Delhi, India","Pitampura TV Tower, Delhi, India",22181,2357,2607,,,,,,0
"Dilli Haat, Delhi, India","Mundka Industrial Area, Delhi, India",30307,3800,4709,,,,,,0
"Dilli Haat, Delhi, India","Dwarka Sector 21, Delhi, India",21316,2351,2936,,,,,,0
"Dilli Haat, Delhi, India","Khan Market, Delhi, India",4372,685,703,,,,,,0
"Dilli Haat, Delhi, India","Sarai Rohilla, Delhi, India",15100,2095,2583,,,,,,0
"Dilli Haat, Delhi, India","Lajpat Nagar, Delhi, India",5485,691,1072,,,,,,0
"Dilli Haat, Delhi, India","Punjabi Bagh, Delhi, India",17597,1947,2175,,,,,,0
"Dilli Haat, Delhi, India","Greater Kailash, Delhi, India",6559,916,1238,,,,,,0
"Dilli Haat, Delhi, India","Vasant Kunj, Delhi, India",9640,1461,1505,,,,,,0
"Dilli Haat, Delhi, India","Noida Sector 18, Delhi, India",13297,1422,1760,,,,,,0
"Dilli Haat, Delhi, India","Azadpur Mandi, Delhi, India",24497,2548,2957,,,,,,0
"Dilli Haat, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",10450,1344,1428,,,,,,0
"Saket Mall, Delhi, India","Khan Market, Delhi, India",13211,1787,2349,,,,,,0
"Saket Mall, Delhi, India","Hauz Khas Village, Delhi, India",5777,1116,1399,,,,,,0
"Saket Mall, Delhi, India","Chhatarpur Temple, Delhi, India",6699,1121,1238,,,,,,0
"Saket Mall, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",30191,3761,4651,,,,,,0
"Saket Mall, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",33427,3970,5285,,,,,,0
"Saket Mall, Delhi, India","Nehru Planetarium, Delhi, India",11426,1646,2639,,,,,,0
"Saket Mall, Delhi, India","Shankar's International Dolls Museum, Delhi, India",15607,1919,2644,,,,,,0
"Saket Mall, Delhi, India","ISKCON Temple, Delhi, India",8186,1306,2040,,,,,,0
"Saket Mall, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",11958,1719,2321,,,,,,0
"Saket Mall, Delhi, India","Delhi Zoo, Delhi, India",14820,1725,2320,,,,,,0
"Saket Mall, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",21567,2598,3571,,,,,,0
"Saket Mall, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",18691,2045,2753,,,,,,0
"Saket Mall, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",13573,1521,2137,,,,,,0
"Saket Mall, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",7772,1127,1693,,,,,,0
"Saket Mall, Delhi, India","Tughlaqabad Fort, Delhi, India",8065,1579,2211,,,,,,0
"Saket Mall, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",18251,2037,2707,,,,,,0
"Saket Mall, Delhi, India","Safdarjung's Tomb, Delhi, India",8909,1337,1880,,,,,,0
